First Name,Last Name,COMMCODE,TRADECODE,ADDRESS,PHONE,EMAIL
LAXMI ENTERPRISES,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,L059,"170/172SAMUEL STREET ,MUMBAI ,MAHARASHTRA  Pin:400 009",9820068447,bharat@sbslaxmi.com
WAYANAD  SOCIAL  SERVICE SOCIETY,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE,A,W076,"MP.III/127, B-STREETMANANTHAVADY ,WAYANAD ,KERALA  Pin:670 645",9656220000,info@wsssindia.com
EVERGREEN  IMPEX,PEPPER               GINGER               TURMERIC            ,A,E190,"1/583, EDAKURUSSIKARIMBA P.O. ,PALAKKAD ,KERALA  Pin:678597",9447043541,kappan@sify.com
FINE FOODS INDUSTRIES,PEPPER               CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            GARLIC              ,A,F278,"SURVEY NO. 159/1HARIPAR ROAD, VILLAGE TAVEDA ,BHAVNAGAR ,GUJARAT  Pin:364290",9904578672,vasim@finefoodsindustries.com
GOOD EARTH ORGANIC,PEPPER               GINGER               TURMERIC            ,A,G854,"VII/210 ,ERNAKULAM ,KERALA  Pin:683574",9847043192,info@goodearthorganics.org
KITCHEN XPRESS OVERSEAS LIMITED,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,K824,"RAMDEV ESTATE ,AHMEDABAD ,GUJARAT  Pin:380060",9925280008,rakesh@kxol.in
PACIFIC COMMODITIES,PEPPER               TURMERIC            ,A,P1083,"F-WING, 5TH FLR, FLAT NO 504DUDHWALA COMPLEX ,MUMBAI ,MAHARASHTRA  Pin:400008",9987893459,pacific514@hotmail.com
MILTOP EXPORTS,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER         SPICE OILS & OLEORES,A,M486,"672/673, GIDC PHASE-2DARED ,JAMNAGAR ,GUJARAT  Pin:361 004",9687113954,miltopexports@gmail.com
NOVIA  SPICES  ENTERPRISES,PEPPER              ,A,N751,"XIV/217-ANATTAKOM ,KOTTAYAM ,KERALA  Pin:686013",9400882907,sathishveloor@gmail.com
HART FOODS COMTRADE LLP,PEPPER               GINGER               TURMERIC             CUMIN                OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,H319,"9/9 D, KASTUR MAHAL ,MUMBAI ,MAHARASHTRA  Pin:400 022",9987542780,rupali@hartfoods.com
Elements Homestead Products Pvt. Ltd,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CUMIN                FENUGREEK            OTHER SEEDS          NUTMEG/MACE,A,E277,"4/1418- B ,KOZHIKODE ,KERALA  Pin:673032",9744464955,info@elementsindia.net
FLEX FOODS LIMITED,PEPPER               CORIANDER            FENNEL               FENUGREEK            OTHER SEEDS         ,A,F157,"Lal TapparLal Tappar Ind. Area ,Dehradun ,UTTARANCHAL  Pin:248140",0135 2499262,mmvflex@gmail.com
MOOLANS INTERNATIONAL EXIM PVT. LTD.,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             CURRY POWDER        ,A,M101,"BLDG NO.A/444, MOOLANS AVENUE ,ANGAMALY, ERNAKULAM ,KERALA  Pin:683 572",9249515998,moolansgroup@gmail.com
JAYKESHAV EXPORTS PVT.LTD,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,J603,"15KIADB INDUSTRIAL AREA ,BANGALORE ,KARNATAKA  Pin:560 074",9880884358,mnk1970@gmail.com
JAYACO,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,J083,"451KUNDRATHUR MAIN ROAD ,CHENNAI ,TAMIL NADU  Pin:600 122",9962995411,jayaco_kalidhas@yahoo.co.in
KANU KRISHNA CORPORATION,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,K032,"100/104502/303,GORADIA HOUSE ,MUMBAI ,MAHARASHTRA  Pin:400003",9820350630,kkcdipak@vsnl.com
MITTULAAUL LALAH &#38 SONS,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             CURRY POWDER        ,A,M130,"OLD NO.134 / NEW NO.554ANOOR WOODFORD ,CHENNAI ,TAMIL NADU  Pin:600018",7904821560,qad@lalahs.com
SWANI SPICE MILLS PVT. LTD.,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,S976,"FLAT NO.4HARI NIWAS ,CHURCHGATE, MUMBAI ,MAHARASHTRA  Pin:400 020",9821045558,purchase@swanispice.com
M M INTERNATIONAL,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,M677,"C95, TURBHE MIDC ,NAVI MUMBAI ,MAHARASHTRA  Pin:400705",8169325350,nimish@mmispices.com
GANGARAM LALLUDAS PATEL,PEPPER               CHILLIES             TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          CURRY POWDER        ,A,G011,"B 92GANJ BAZAR ,UNJHA ,GUJARAT  Pin:384170",9825071094,glvictory@rediffmail.com
NHC FOODS LIMITED,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,N593,"D-22/8, TTC INDUSTRIAL AREA ,NAVI MUMBAI ,MAHARASHTRA  Pin:400705",9820024816,info@nhcgroup.com
J.D.S. FOOD PRODUCTS PRIVATE LIMITED,PEPPER               CHILLIES            ,A,J708,"PLOT NO.39AMAIN ROAD, 2ND FLOOR ,CHENNAI ,TAMIL NADU  Pin:600087",9380042047,devdas@jdsfoods.in
PHALADA AGRO RESEARCH FOUNDATIONS PVT LTD,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               NUTMEG/MACE CURRY POWDER        ,A,P644,"92/5, KANNALLI ,BANGALORE ,KARNATAKA  Pin:560091",9513356741,info@phaladaagro.com
S. NARENDRAKUMAR &#38 CO.,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENUGREEK            CURRY POWDER        ,A,N026,"5TH FLOOR,KRUSHAL COMMERCIAL CENTRE ,CHEMBUR (W), MUMBAI ,MAHARASHTRA  Pin:400 089",9323999111,everest@everestspices.com
AMBIKA GLOBAL FOODS AND BEVERAGES PRIVATE LIMITED,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,A2468,"UNIT NO.7MEZZANINE FLOOR,CAMA INDUSTRIAL PREMISES CO-OP SOC.LTD ,MUMBAI ,MAHARASHTRA  Pin:400013",9892872727,vipin@ambikaglobal.com
Panachamoottil Exporters,PEPPER               GINGER               GARLIC              ,A,P1168,"TC 14/1351Panachamoottil ,Trivandrum ,KERALA  Pin:695011",9947062629,accounts@panachamoottil.com
RAMDEV FOOD PRODUCTS PVT. LTD.,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,R272,"SPICE WORLDSHARKHEJ BAVLA HIGH WAY, CHANGODAR, ,AHMEDABAD ,GUJARAT  Pin:382 213",9375531930,vmpurchase@ramdev.co.in
YOGITA AGRO FOOD PRODUCTS CO,PEPPER               CHILLIES             TURMERIC             CURRY POWDER        ,A,Y102,"LOHIA HOUSE NO.100ARANI SATTI MARG, ,GUWAHATI ,ASSAM  Pin:781001",7670000012,suresh@yogitaagrofood.com
TIT-BIT FOODS (INDIA) PVT. LTD.,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,T322,"PLOT NO. A-55,T.T.C. INDUSTRIAL AREA, ,NAVI MUMBAI ,MAHARASHTRA  Pin:400 709",09821043507,info@titbitspices.com
R.S. LAL INTERNATIONAL,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,R693,"1760/130SHANTI  NAGAR ,TRI NAGAR, NEW DELHI ,DELHI  Pin:110 035",09810162557,rslint309@yahoo.com
SARK SPICE PRODUCTS PVT. LTD.,PEPPER               GINGER               NUTMEG/MACE SPICE OILS & OLEORES,A,S723,"179,TAK INDUSTRIAL COMPLEXEARA NORTH P.O ,NEELAMPEROOR, ALAPPUZHA ,KERALA  Pin:686534",9605806366,sarkspices@gmail.com
GEO-FRESH  ORGANIC,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENUGREEK           ,A,G622,"GULAB PARKS.T.ROAD ,SIDHPUR ,GUJARAT  Pin:384151",9978920260,rinkal@geo-fresh.com
EVEREST GLOBAL,PEPPER               CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          TAMARIND             CURRY POWDER        ,A,E198,"ROYAL PALMS 319,MASTER MIND 1AAREY MILK COLONY ,MUMBAI ,MAHARASHTRA  Pin:400 065",9821175743,everest_g@hotmail.com
SEASCOPE EXPORTS,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER         SPICE OILS & OLEORES,A,S755,"158/33 LAXMI INDUSTRIAL ESTATENEW LINK ROAD ,MUMBAI ,MAHARASHTRA  Pin:400053",9769005750,exports@seascope.in
OM SHREE INTERNATIONAL PVT.LTD,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,O185,"ORION BUSINESS PARK702, 7TH FLOOR, NEHRU ROAD ,MUMBAI ,MAHARASHTRA  Pin:400 055",9619881106,logistic@omshreegroup.com
DHARA FOODS PVT. LTD.,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       GINGER               CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,D346,"GOKULNEAR RAMJI MANDIR ,ANAND ,GUJARAT  Pin:388 001",9687627579,shril@dharafoods.com
THAKAR EXPORTS,PEPPER               CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,T359,"177/18ONKAR NAGAR-B ,TRI NAGAR, DELHI ,DELHI  Pin:110035",9810287622,thakar@vsnl.com
A.K.M.SULAIMAN,PEPPER              ,A,A2639,"CC.7/ 621 ,JEW TOWN, ,COCHIN ,KERALA  Pin:682002",9847914437,junaidsulaiman69@gmail.com
SHREE BHAGWATI  FLOUR &#38 FOODS PVT.LTD.,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,S1228,"S.NO.430OPP: NOVA PETRO CHEMICALS ,CHANGODAR AHMEDABAD ,GUJARAT  Pin:382213",9898033364,sales@bhagwatiexports.com
ACCOLADE  INTERNATIONAL  INC,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,A1170,"PLOT 6 A,TATA MILL COMPOUND ,MUMBAI ,MAHARASHTRA  Pin:400012",8850876237,admin@accoladeinc.in
SPECIAL FOODS (P) LTD,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          CURRY POWDER        ,A,SH27,"TMC / XV / 462 A TRICHAMBARAMTALIPARAMBA PO , ,KERALA  Pin:670141",9846304757,mhnkk@yahoo.com
NIMA ENTERPRISES PVT LTD,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,N767,"PLOT NO.54SECTOR 19-C ,NEW MUMBAI ,MAHARASHTRA  Pin:400705",9930258280,sales@nimaenterprises.com
FASHION FABS,PEPPER               CARDAMOM SMALL       CHILLIES             TURMERIC             CUMIN                CURRY POWDER        ,A,F221,"746/XIXVENGARAVAYAL ,KANNUR ,KERALA  Pin:670011",9846089402,fashfabs@gmail.com
UNIQUE FRAGRANCES,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,U131,"B-63, 2ND FLOORPRASHANT VIHAR ,DELHI ,DELHI  Pin:110085",9818459394,info@uniquefragrances.com
M H FOODS PRIVATE LIMITED,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,M1853,"377,SAILOR BILDING ,MUMBAI ,MAHARASHTRA  Pin:400001",9867311000,exim@mhfoods.in
FINESSE MARKET LINK,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            CURRY POWDER        ,A,F091,"T.C. 9/328(5)LA-4 ,TRIVANDRUM ,KERALA  Pin:695 003",9995945885,exports@thefinessegroup.com
D &#38 G MASALA KRAFT,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               CURRY POWDER        ,A,D712,"OFFICE NO. 1, B 71, APMC MASALA MARKET,SECTOR 19, VASHI ,NAVI MUMBAI ,MAHARASHTRA  Pin:400703",9819566446,dgmkraft@gmail.com
HILL GOLD TRADING COMPANY,PEPPER               CARDAMOM SMALL       CHILLIES             TURMERIC             CORIANDER            TAMARIND             NUTMEG/MACE,A,H426,"11/516 ,ERNAKULAM ,KERALA  Pin:683581",9447723422,hilltradegroup@gmail.com
M.R. OVERSEAS,PEPPER               CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE,A,M1410,"387-ANAYA BANS , ,DELHI  Pin:110006",9818332577,ankur.mrgroup@gmail.com
COCHIN TRADERS COCHIN,PEPPER              ,A,C398,"CC-12/656 ,COCHIN ,KERALA  Pin:682 002",8089124053,cochintraderscochin@yahoo.co.in
SWATHI CORPORATION,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE,A,SD21,"NO.7HANUMANTHARAYAN KOIL LANE ,CHENNAI ,TAMIL NADU  Pin:600001",9841034719,venkatbala62@yahoo.co.in
GRANDMAS FOOD PRODUCTS,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            GARLIC               CURRY POWDER        ,A,G517,"MMC XIV/60-KJACOBS TOWER P O JUNCTION ,ERNAKULAM ,KERALA  Pin:686 661",9142210241,grandmasoffice@gmail.com
ORIENT EXPORT COMPANY,PEPPER               GINGER               TURMERIC             CORIANDER            NUTMEG/MACE CURRY POWDER        ,A,O005,"7 /563 ,COCHIN, ERNAKULAM ,KERALA  Pin:682002",9446377051,oecexpo@gmail.com
D.A. PATEL,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,P182,"B 93/OLD NO.3B93 ,UNJHA ,GUJARAT  Pin:384 170",9825017732,dapatel_adl@bsnl.in
GANDHI SONS,PEPPER               TURMERIC             CUMIN                CELERY               FENUGREEK           ,A,G006,"C-20/21, MEZZ. FLOORSATYAM SHOPPING CENTRE ,MUMBAI ,MAHARASHTRA  Pin:400 077",9833199199,gandhisons@vsnl.com
MEHTA EXPORTS,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,M071,"B/9,VIRAL APARTMENT50 .S.V. ROAD, ,ANDHERI, MUMBAI ,MAHARASHTRA  Pin:400058",9821052127,mehta@mehtaexpo.com
